date,FL544090075.Q,FL543020073.Q,FL543034073.Q,FL542051073.Q,FL544022075.Q,FL543069170.Q,FL543061173.Q,FL543061773.Q,FL543062073.Q,FL543063075.Q,FL544023075.Q,FL543069075.Q,FL543065070.Q,LM543064175.Q,LM543064273.Q,FL543092073.Q,FL543090075.Q,FL544190075.Q,FL542151073.Q,FL543169373.Q,FL543140073.Q,FL543150075.Q,FL543178073.Q,FL543192073.Q,FL543190075.Q
1945:Q4,43946.00,780.00,0.00,0.00,32611.00,0.00,20589.00,0.00,722.00,11300.00,8598.00,1962.00,6636.00,999.00,0.00,97.00,861.00,41555.00,0.00,0.00,35967.00,2700.00,26.00,275.00,2587.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,47460.00,774.00,0.00,0.00,35354.00,0.00,21635.00,0.00,614.00,13105.00,9049.00,1894.00,7155.00,1249.00,0.00,101.00,933.00,44886.00,0.00,0.00,38602.00,3100.00,22.00,276.00,2886.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,50900.00,1020.00,0.00,0.00,36774.00,0.00,20040.00,0.00,609.00,16125.00,10612.00,1937.00,8675.00,1390.00,0.00,105.00,999.00,48306.00,0.00,0.00,41147.00,3600.00,2.00,277.00,3280.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,54520.00,915.00,0.00,0.00,38042.00,0.00,16812.00,0.00,872.00,20358.00,12890.00,2057.00,10833.00,1428.00,0.00,109.00,1136.00,51802.00,0.00,0.00,43777.00,4200.00,2.00,279.00,3544.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,58390.00,908.00,0.00,0.00,39281.00,0.00,15298.00,0.00,1052.00,22931.00,15146.00,2240.00,12906.00,1718.00,0.00,113.00,1224.00,55527.00,0.00,0.00,46444.00,4825.00,47.00,281.00,3930.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,62599.00,1005.00,0.00,0.00,39390.00,0.00,13486.00,0.00,1152.00,24752.00,18515.00,2413.00,16102.00,2103.00,0.00,119.00,1467.00,59243.00,0.00,0.00,49080.00,5600.00,76.00,284.00,4203.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,66633.00,1085.00,0.00,0.00,39647.00,0.00,11034.00,0.00,1142.00,27471.00,21904.00,2590.00,19314.00,2221.00,0.00,126.00,1650.00,63221.00,0.00,0.00,51635.00,6575.00,133.00,287.00,4591.00
1952:Q1,67779.00,1015.00,0.00,0.00,40192.00,0.00,10818.00,0.00,1133.00,28241.00,22516.00,2627.00,19889.00,2236.00,0.00,126.00,1694.00,64292.00,0.00,0.00,52288.00,6845.00,165.00,287.00,4707.00
1952:Q2,68730.00,1077.00,0.00,0.00,40480.00,0.00,10363.00,0.00,1123.00,28994.00,23010.00,2661.00,20349.00,2301.00,0.00,128.00,1734.00,65428.00,0.00,0.00,52976.00,7129.00,148.00,288.00,4887.00
1952:Q3,70039.00,1065.00,0.00,0.00,41317.00,0.00,10455.00,0.00,1163.00,29699.00,23509.00,2697.00,20812.00,2245.00,0.00,130.00,1773.00,66618.00,0.00,0.00,53707.00,7417.00,159.00,289.00,5046.00
1952:Q4,71472.00,1146.00,0.00,0.00,41974.00,0.00,10252.00,0.00,1153.00,30569.00,23964.00,2713.00,21251.00,2446.00,0.00,135.00,1807.00,67837.00,0.00,0.00,54480.00,7700.00,149.00,304.00,5204.00
1953:Q1,72555.00,990.00,0.00,0.00,42691.00,0.00,10120.00,0.00,1203.00,31368.00,24499.00,2758.00,21741.00,2396.00,0.00,137.00,1842.00,69035.00,0.00,0.00,55246.00,7980.00,139.00,305.00,5365.00
1953:Q2,73669.00,948.00,0.00,0.00,43255.00,0.00,10090.00,0.00,1218.00,31947.00,25059.00,2806.00,22253.00,2395.00,0.00,139.00,1873.00,70194.00,0.00,0.00,55988.00,8259.00,125.00,307.00,5515.00
1953:Q3,74822.00,1030.00,0.00,0.00,43746.00,0.00,9987.00,0.00,1258.00,32501.00,25586.00,2850.00,22736.00,2413.00,0.00,141.00,1906.00,71334.00,0.00,0.00,56701.00,8539.00,160.00,309.00,5625.00
1953:Q4,76513.00,1215.00,0.00,0.00,44402.00,0.00,9829.00,0.00,1298.00,33275.00,26236.00,2914.00,23322.00,2573.00,0.00,145.00,1942.00,72482.00,0.00,0.00,57388.00,8825.00,231.00,317.00,5721.00
1954:Q1,77851.00,1060.00,0.00,0.00,45097.00,0.00,9720.00,0.00,1463.00,33914.00,26789.00,2972.00,23817.00,2773.00,0.00,147.00,1985.00,73655.00,0.00,0.00,58093.00,9113.00,185.00,319.00,5945.00
1954:Q2,79180.00,1101.00,0.00,0.00,45513.00,0.00,9399.00,0.00,1657.00,34457.00,27464.00,3032.00,24432.00,2920.00,0.00,150.00,2032.00,74864.00,0.00,0.00,58831.00,9401.00,140.00,321.00,6171.00
1954:Q3,80504.00,1111.00,0.00,0.00,45899.00,0.00,9138.00,0.00,1791.00,34970.00,28167.00,3084.00,25083.00,3093.00,0.00,153.00,2081.00,76079.00,0.00,0.00,59600.00,9695.00,168.00,323.00,6293.00
1954:Q4,82188.00,1240.00,0.00,0.00,46294.00,0.00,9070.00,0.00,1846.00,35378.00,29103.00,3127.00,25976.00,3268.00,0.00,155.00,2128.00,77273.00,0.00,0.00,60389.00,10000.00,183.00,356.00,6345.00
1955:Q1,83468.00,1061.00,0.00,0.00,46861.00,0.00,9136.00,0.00,1984.00,35741.00,29956.00,3188.00,26768.00,3261.00,0.00,158.00,2171.00,78486.00,0.00,0.00,61170.00,10322.00,189.00,358.00,6447.00
1955:Q2,84870.00,1089.00,0.00,0.00,47167.00,0.00,9086.00,0.00,1984.00,36097.00,30743.00,3225.00,27518.00,3499.00,0.00,161.00,2211.00,79744.00,0.00,0.00,61931.00,10663.00,156.00,360.00,6634.00
1955:Q3,86384.00,1160.00,0.00,0.00,47656.00,0.00,9164.00,0.00,2016.00,36476.00,31544.00,3267.00,28277.00,3606.00,0.00,164.00,2254.00,81038.00,0.00,0.00,62688.00,11004.00,198.00,362.00,6786.00
1955:Q4,87851.00,1265.00,0.00,0.00,47741.00,0.00,8576.00,0.00,2038.00,37127.00,32735.00,3290.00,29445.00,3633.00,0.00,167.00,2310.00,82351.00,0.00,0.00,63459.00,11325.00,222.00,390.00,6955.00
1956:Q1,89198.00,1050.00,0.00,0.00,48058.00,0.00,8077.00,0.00,2193.00,37788.00,33742.00,3346.00,30396.00,3800.00,0.00,170.00,2378.00,83649.00,0.00,0.00,64251.00,11624.00,204.00,392.00,7178.00
1956:Q2,90346.00,1086.00,0.00,0.00,48330.00,0.00,7954.00,0.00,2186.00,38190.00,34706.00,3414.00,31292.00,3591.00,0.00,173.00,2460.00,84916.00,0.00,0.00,65070.00,11895.00,154.00,393.00,7404.00
1956:Q3,91670.00,1084.00,0.00,0.00,48852.00,0.00,7834.00,0.00,2251.00,38767.00,35562.00,3450.00,32112.00,3453.00,0.00,176.00,2543.00,86159.00,0.00,0.00,65875.00,12175.00,244.00,394.00,7471.00
1956:Q4,93194.00,1281.00,0.00,0.00,49107.00,0.00,7555.00,0.00,2273.00,39279.00,36508.00,3519.00,32989.00,3503.00,0.00,179.00,2616.00,87397.00,0.00,0.00,66626.00,12500.00,262.00,399.00,7610.00
1957:Q1,94264.00,1074.00,0.00,0.00,49675.00,0.00,7478.00,0.00,2289.00,39908.00,37274.00,3595.00,33679.00,3378.00,0.00,182.00,2681.00,88620.00,0.00,0.00,67324.00,12868.00,261.00,400.00,7767.00
1957:Q2,95874.00,1142.00,0.00,0.00,50173.00,0.00,7348.00,0.00,2322.00,40503.00,37859.00,3678.00,34181.00,3773.00,0.00,185.00,2742.00,89812.00,0.00,0.00,67969.00,13279.00,185.00,401.00,7978.00
1957:Q3,97013.00,1150.00,0.00,0.00,50844.00,0.00,7289.00,0.00,2348.00,41207.00,38461.00,3766.00,34695.00,3570.00,0.00,188.00,2800.00,91020.00,0.00,0.00,68606.00,13700.00,224.00,402.00,8088.00
1957:Q4,98190.00,1292.00,0.00,0.00,51356.00,0.00,7029.00,0.00,2376.00,41951.00,39105.00,3869.00,35236.00,3391.00,0.00,192.00,2854.00,92289.00,0.00,0.00,69277.00,14100.00,264.00,389.00,8259.00
1958:Q1,99511.00,1170.00,0.00,0.00,52099.00,0.00,7087.00,0.00,2460.00,42552.00,39663.00,3970.00,35693.00,3479.00,0.00,195.00,2905.00,93596.00,0.00,0.00,69991.00,14475.00,387.00,390.00,8353.00
1958:Q2,100834.00,1210.00,0.00,0.00,52766.00,0.00,7075.00,0.00,2534.00,43157.00,40087.00,4058.00,36029.00,3626.00,0.00,199.00,2946.00,94948.00,0.00,0.00,70755.00,14826.00,300.00,390.00,8677.00
1958:Q3,102424.00,1217.00,0.00,0.00,53619.00,0.00,7295.00,0.00,2613.00,43711.00,40563.00,4125.00,36438.00,3831.00,0.00,202.00,2992.00,96268.00,0.00,0.00,71533.00,15189.00,335.00,390.00,8821.00
1958:Q4,104266.00,1366.00,0.00,0.00,54283.00,17.00,7183.00,50.00,2681.00,44352.00,41250.00,4188.00,37062.00,4109.00,0.00,206.00,3052.00,97497.00,0.00,0.00,72294.00,15600.00,348.00,432.00,8823.00
1959:Q1,105475.00,1218.00,0.00,0.00,55051.00,124.00,7212.00,61.00,2828.00,44826.00,41734.00,4273.00,37461.00,4133.00,0.00,210.00,3129.00,98755.00,0.00,0.00,73063.00,16068.00,380.00,432.00,8812.00
1959:Q2,107121.00,1206.00,0.00,0.00,55888.00,215.00,7228.00,74.00,2991.00,45380.00,42216.00,4367.00,37849.00,4375.00,0.00,213.00,3223.00,100073.00,0.00,0.00,73834.00,16602.00,339.00,433.00,8865.00
1959:Q3,108266.00,1158.00,0.00,0.00,56375.00,200.00,7183.00,82.00,3148.00,45762.00,42887.00,4474.00,38413.00,4309.00,0.00,217.00,3320.00,101516.00,0.00,0.00,74667.00,17129.00,418.00,434.00,8868.00
1959:Q4,109999.00,1309.00,0.00,0.00,56686.00,118.00,6868.00,72.00,3200.00,46428.00,43815.00,4618.00,39197.00,4561.00,0.00,221.00,3407.00,103111.00,0.00,0.00,75606.00,17575.00,434.00,451.00,9045.00
1960:Q1,111045.00,1127.00,0.00,0.00,57148.00,137.00,6828.00,73.00,3284.00,46826.00,44691.00,4786.00,39905.00,4368.00,0.00,225.00,3486.00,104654.00,0.00,0.00,76524.00,17946.00,376.00,452.00,9356.00
1960:Q2,112582.00,1188.00,0.00,0.00,57481.00,176.00,6574.00,100.00,3357.00,47274.00,45484.00,4966.00,40518.00,4642.00,0.00,229.00,3558.00,106060.00,0.00,0.00,77383.00,18248.00,337.00,454.00,9638.00
1960:Q3,113742.00,1183.00,0.00,0.00,58052.00,249.00,6577.00,105.00,3510.00,47611.00,46188.00,5112.00,41076.00,4456.00,0.00,233.00,3630.00,107323.00,0.00,0.00,78133.00,18532.00,383.00,456.00,9819.00
