date,FA106902501.A,FA106300083.A,FA106902605.A,FA106025005.A,FA106020001.A,FA106401001.A,FA106240101.A,FA106402101.A,FA106140005.A,FA106402101.A,FA106150105.A,FA106130101.A,FA106121101.A,FA103092201.A,FA106150005.A,FA106130001.A,FA106121001.A,FA103192201.A,FA106112001.A,FA106140005.A,FA106220001.A,FA106403001.A,FA106012095.A,FA106012095.A,FA106006385.A,FA106012095.A,FA105440005.A,FA105050985.A,FA105019085.A,FA106300083.A,FA105420095.A,FA105020005.A,FA105000905.A,FA105000905.A,FA104090005.A,FA104000005.A,FA103020005.A,FA103030003.A,FA103091003.A,FA104022005.A,FA103069100.A,FA103061103.A,FA103061703.A,FA103062003.A,FA104035005.A,FA104041005.A,FA103065003.A,FA103081005.A,FA103034003.A,FA103064203.A,FA103092005.A,FA103092405.A,FA103094105.A,FA103076005.A,FA103096005.A,FA103070005.A,FA103093005.A,FA104190005.A,FA104122005.A,FA103169100.A,FA103162000.A,FA103163003.A,FA104123005.A,FA104141005.A,FA103168005.A,FA103169005.A,FA103165005.A,FA103181005.A,FA103164103.A,FA103192005.A,FA103152025.A,FA573074005.A,FA573073005.A,FA103196005.A,FA103170005.A,FA103178000.A,FA103193005.A,FA105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR108080095.A,FR103064203.A,FR103092005.A,FR103181005.A,FR103164103.A,FR103192005.A,FR108200005.A,FC102090085.A,FL102000005.A,FL102010005.A,LM105035005.A,FL105015205.A,FL105013765.A,FL105020015.A,FL104090005.A,FL104000005.A,FL103020005.A,FL103030003.A,FL103091003.A,FL104022005.A,FL103069100.A,FL103061103.A,FL103061703.A,FL103062003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL103065003.A,FL103081005.A,FL103034003.A,LM103064203.A,FL103092005.A,FL103092405.A,FL103094105.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163003.A,FL104123005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL103165005.A,FL103181005.A,LM103164103.A,FL103192005.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178000.A,FL103193005.A,FL102090085.A
1960,282473.00,27560.00,254913.00,180409.00,165053.00,15356.00,26600.00,47904.00,35321.00,47904.00,8214.00,3338.00,3569.00,1307.00,20797.00,6212.00,14025.00,132.00,428.00,35321.00,19142.00,1266.00,14913.00,14913.00,15006.00,14913.00,-93.00,14256.00,40417.00,27560.00,-652.00,2051.00,750.00,750.00,2847.00,564.00,-939.00,1500.00,3.00,-5319.00,46.00,-5869.00,-84.00,588.00,-492.00,-495.00,3.00,2841.00,0.00,0.00,2820.00,21.00,0.00,597.00,4656.00,4925.00,-269.00,11883.00,3876.00,454.00,0.00,3422.00,5070.00,4254.00,2212.00,2042.00,816.00,1605.00,1365.00,240.00,1026.00,66.00,960.00,306.00,2849.00,-1590.00,-953.00,-9036.00,-6960.00,0.00,2653.00,9786.00,-173.00,-1565.00,-2704.00,429.00,269.00,441.00,-902.00,0.00,-902.00,1650.00,1644.00,6.00,-4117.00,3928.00,790406.00,609667.00,352721.00,141878.00,25168.00,89900.00,180740.00,31590.00,28442.00,3000.00,148.00,20038.00,788.00,15752.00,1116.00,2382.00,9647.00,9623.00,0.00,9623.00,24.00,30749.00,0.00,0.00,30670.00,79.00,0.00,4728.00,83987.00,82311.00,1676.00,790406.00,595580.00,76985.00,769.00,0.00,76216.00,68607.00,46782.00,37651.00,9131.00,21825.00,370335.00,365166.00,5169.00,41398.00,613.00,40785.00,38254.00,62090.00,12560.00,-36396.00,194827.00
1961,290416.00,28564.00,261852.00,184516.00,168575.00,15941.00,27620.00,49716.00,36266.00,49716.00,8646.00,3413.00,4116.00,1117.00,22096.00,6690.00,14694.00,179.00,534.00,36266.00,19419.00,1421.00,15427.00,15427.00,15550.00,15427.00,-123.00,12783.00,40431.00,28564.00,-723.00,1639.00,2766.00,2766.00,13370.00,4283.00,3095.00,1100.00,88.00,-1210.00,301.00,-1656.00,132.00,13.00,3.00,-6.00,9.00,2527.00,0.00,0.00,2519.00,8.00,0.00,468.00,7299.00,7892.00,-593.00,16158.00,4720.00,325.00,0.00,4395.00,2674.00,1257.00,934.00,323.00,1417.00,2383.00,2121.00,262.00,-830.00,127.00,-957.00,7211.00,5251.00,621.00,1339.00,-2788.00,-2977.00,0.00,2849.00,5554.00,271.00,1854.00,2062.00,-822.00,252.00,362.00,198.00,0.00,198.00,70242.00,70387.00,-145.00,-68190.00,-55617.00,819941.00,626538.00,362550.00,145125.00,27234.00,91629.00,193403.00,36220.00,31884.00,4100.00,236.00,18828.00,1089.00,14096.00,1248.00,2395.00,9650.00,9617.00,0.00,9617.00,33.00,33475.00,0.00,0.00,33387.00,88.00,0.00,5195.00,90034.00,88253.00,1781.00,819941.00,680731.00,81705.00,1094.00,0.00,80611.00,71282.00,48039.00,38585.00,9454.00,23243.00,442960.00,437674.00,5286.00,37262.00,740.00,36522.00,47522.00,65845.00,13274.00,-31597.00,139210.00
1962,316795.00,29824.00,286971.00,199256.00,181160.00,18096.00,29869.00,57846.00,42906.00,57846.00,9356.00,3708.00,4383.00,1265.00,24296.00,7546.00,15973.00,158.00,619.00,42906.00,20591.00,1579.00,20735.00,20735.00,20861.00,20735.00,-126.00,17211.00,43575.00,29824.00,-840.00,4300.00,3650.00,3650.00,11972.00,4356.00,3581.00,900.00,-125.00,-1245.00,215.00,-1789.00,27.00,302.00,794.00,773.00,21.00,2882.00,0.00,174.00,2698.00,10.00,0.00,554.00,4631.00,4519.00,112.00,15787.00,4136.00,104.00,0.00,4032.00,6343.00,4023.00,3641.00,382.00,2320.00,672.00,369.00,303.00,-2758.00,28.00,-2786.00,7394.00,2961.00,1081.00,3352.00,-3815.00,-4495.00,0.00,2996.00,7465.00,26.00,3047.00,1472.00,577.00,108.00,890.00,-298.00,-6.00,-292.00,-13645.00,-13729.00,84.00,16394.00,32760.00,854759.00,649377.00,371962.00,151526.00,29096.00,96793.00,205382.00,40576.00,34786.00,5000.00,790.00,17583.00,1304.00,12307.00,1275.00,2697.00,10444.00,10390.00,0.00,10390.00,54.00,36060.00,0.00,168.00,35793.00,99.00,0.00,5749.00,94970.00,92772.00,2198.00,854759.00,682789.00,85841.00,1198.00,0.00,84643.00,77625.00,52062.00,42226.00,9836.00,25563.00,429987.00,424314.00,5673.00,37034.00,768.00,36266.00,52302.00,68806.00,14355.00,-30859.00,171970.00
1963,337808.00,31340.00,306469.00,210106.00,190566.00,19540.00,31667.00,64696.00,48845.00,64696.00,10261.00,4171.00,4511.00,1579.00,26111.00,8375.00,16954.00,180.00,603.00,48845.00,22754.00,1595.00,24496.00,24496.00,24584.00,24496.00,-88.00,18312.00,46408.00,31340.00,-793.00,4037.00,6272.00,6272.00,15354.00,-504.00,-982.00,687.00,-209.00,3909.00,-335.00,2821.00,333.00,1090.00,961.00,955.00,6.00,3327.00,0.00,16.00,3311.00,0.00,0.00,355.00,7306.00,6308.00,998.00,20334.00,3541.00,-230.00,0.00,3771.00,7204.00,4531.00,3424.00,1107.00,2673.00,-114.00,-341.00,227.00,-1493.00,127.00,-1620.00,11197.00,7393.00,1389.00,2415.00,-4980.00,-8606.00,0.00,2700.00,11252.00,54.00,2515.00,1059.00,281.00,448.00,726.00,-4.00,19.00,-23.00,41758.00,41806.00,-48.00,-39247.00,-23270.00,893607.00,672864.00,381280.00,158459.00,31623.00,101502.00,220743.00,40072.00,33654.00,5687.00,731.00,21492.00,969.00,15128.00,1608.00,3787.00,11405.00,11345.00,0.00,11345.00,60.00,39384.00,0.00,203.00,39081.00,100.00,0.00,6105.00,102284.00,99080.00,3204.00,893607.00,744907.00,89382.00,968.00,0.00,88414.00,84802.00,56566.00,45623.00,10942.00,28236.00,471631.00,465779.00,5852.00,32570.00,895.00,31675.00,66522.00,76199.00,15744.00,-25421.00,148700.00
1964,364507.00,33252.00,331255.00,225657.00,204546.00,21111.00,33878.00,71720.00,53725.00,71720.00,10949.00,4545.00,4875.00,1529.00,28944.00,9175.00,18870.00,247.00,653.00,53725.00,23888.00,1871.00,27967.00,27967.00,28048.00,27967.00,-81.00,22332.00,51821.00,33252.00,-920.00,4683.00,5715.00,5715.00,14545.00,675.00,-412.00,984.00,103.00,-637.00,725.00,-647.00,-608.00,-107.00,1269.00,1245.00,24.00,3604.00,0.00,37.00,3565.00,2.00,0.00,329.00,9305.00,8542.00,763.00,23659.00,4151.00,157.00,0.00,3994.00,9756.00,6550.00,4818.00,1732.00,3206.00,1436.00,1145.00,291.00,-1086.00,154.00,-1240.00,9402.00,6978.00,467.00,1957.00,-9114.00,-11763.00,0.00,2573.00,14829.00,-494.00,11623.00,8711.00,1224.00,504.00,1184.00,-1.00,13.00,-14.00,78921.00,79031.00,-110.00,-67299.00,-51014.00,945102.00,709816.00,399403.00,168398.00,34151.00,107863.00,235287.00,40748.00,32980.00,6671.00,1097.00,20855.00,1694.00,14481.00,1000.00,3680.00,12674.00,12590.00,309.00,12281.00,84.00,42988.00,0.00,253.00,42632.00,103.00,0.00,6434.00,111588.00,107622.00,3966.00,945102.00,847416.00,93533.00,1125.00,0.00,92408.00,94392.00,62949.00,50264.00,12685.00,31443.00,551988.00,545955.00,6033.00,28339.00,1049.00,27290.00,79165.00,83165.00,16211.00,-20211.00,97686.00
1965,400731.00,35828.00,364903.00,245400.00,222158.00,23242.00,36022.00,83481.00,62726.00,83481.00,11410.00,4753.00,4991.00,1666.00,32165.00,10037.00,21186.00,271.00,671.00,62726.00,27137.00,2102.00,33487.00,33487.00,33568.00,33487.00,-81.00,31737.00,61627.00,35828.00,-772.00,6710.00,1831.00,1831.00,27401.00,2335.00,325.00,2322.00,-312.00,-1099.00,-324.00,-1933.00,238.00,920.00,1233.00,1229.00,4.00,4852.00,0.00,51.00,4793.00,8.00,0.00,425.00,19655.00,13270.00,6385.00,35394.00,4524.00,-328.00,0.00,4852.00,15692.00,13035.00,10877.00,2158.00,2657.00,433.00,-28.00,461.00,1214.00,154.00,1060.00,13532.00,11754.00,2083.00,-306.00,-7993.00,-11100.00,0.00,-2522.00,9824.00,-1245.00,15043.00,11609.00,964.00,698.00,1772.00,5945.00,26.00,5919.00,77824.00,77885.00,-61.00,-56836.00,-34368.00,1024000.00,761292.00,423994.00,182211.00,37496.00,117591.00,262709.00,43083.00,33309.00,8993.00,781.00,19756.00,1370.00,12548.00,1238.00,4600.00,13907.00,13819.00,593.00,13226.00,88.00,53785.00,0.00,330.00,53344.00,111.00,0.00,6859.00,125319.00,120892.00,4427.00,1024000.00,960683.00,98057.00,797.00,0.00,97260.00,110136.00,76035.00,61141.00,14894.00,34101.00,630245.00,623812.00,6433.00,26243.00,1203.00,25040.00,96002.00,94866.00,18294.00,-17158.00,63317.00
1966,440065.00,39392.00,400674.00,272851.00,245240.00,27611.00,36973.00,90850.00,68621.00,90850.00,12151.00,5441.00,4756.00,1954.00,34380.00,11839.00,21506.00,263.00,772.00,68621.00,29492.00,2617.00,36512.00,36512.00,36595.00,36512.00,-83.00,43530.00,71889.00,39392.00,-960.00,11993.00,-6935.00,-6935.00,14366.00,-958.00,-672.00,-390.00,104.00,-1184.00,1482.00,-1494.00,-211.00,-961.00,499.00,473.00,26.00,5340.00,0.00,141.00,5173.00,26.00,0.00,576.00,10093.00,12376.00,-2283.00,35436.00,11039.00,825.00,0.00,10214.00,13772.00,10192.00,8574.00,1618.00,3580.00,1618.00,1259.00,359.00,3352.00,46.00,3306.00,5655.00,9145.00,-880.00,-2610.00,-21070.00,-7292.00,0.00,4736.00,14135.00,-2107.00,23114.00,15737.00,5354.00,753.00,1271.00,-1832.00,-46.00,-1786.00,-77031.00,-77180.00,149.00,98313.00,127616.00,1109880.00,832790.00,454030.00,204159.00,41639.00,132962.00,277090.00,42125.00,32637.00,8603.00,885.00,18572.00,2852.00,11054.00,1027.00,3639.00,14406.00,14292.00,895.00,13397.00,114.00,57292.00,0.00,425.00,56731.00,136.00,0.00,7435.00,137260.00,133268.00,3992.00,1109880.00,918946.00,109096.00,1622.00,0.00,107474.00,123828.00,86137.00,69715.00,16422.00,37691.00,554838.00,547891.00,6947.00,33435.00,1249.00,32186.00,97750.00,104101.00,17414.00,-23765.00,190934.00
1967,463175.00,43452.00,419723.00,291064.00,261618.00,29446.00,39311.00,89348.00,65107.00,89348.00,13243.00,6129.00,5153.00,1961.00,37485.00,13770.00,22427.00,351.00,937.00,65107.00,27828.00,2703.00,34576.00,34576.00,34661.00,34576.00,-85.00,38016.00,73783.00,43452.00,-91.00,7777.00,-3356.00,-3356.00,17772.00,3709.00,2546.00,1079.00,84.00,-1701.00,1100.00,-2440.00,-22.00,-339.00,57.00,59.00,-2.00,4685.00,0.00,124.00,4544.00,17.00,0.00,681.00,10341.00,8330.00,2011.00,30366.00,16070.00,1412.00,0.00,14658.00,6261.00,6708.00,6555.00,153.00,-447.00,3068.00,2397.00,671.00,4958.00,221.00,4737.00,9.00,5924.00,-4189.00,-1726.00,-12594.00,-7856.00,0.00,-171.00,9238.00,-1554.00,24307.00,15102.00,6676.00,1568.00,961.00,1848.00,86.00,1762.00,161910.00,161933.00,-23.00,-135755.00,-108950.00,1193305.00,898436.00,483207.00,225194.00,46782.00,143253.00,294869.00,45835.00,35098.00,9682.00,1055.00,16871.00,3952.00,8614.00,1005.00,3300.00,14463.00,14351.00,670.00,13681.00,112.00,63825.00,0.00,635.00,63037.00,153.00,0.00,8116.00,145759.00,141598.00,4161.00,1193305.00,1111322.00,125166.00,3034.00,0.00,122132.00,130079.00,92844.00,76269.00,16575.00,37234.00,719816.00,712221.00,7595.00,32574.00,1470.00,31104.00,103687.00,110025.00,13225.00,-19563.00,81984.00
1968,510908.00,48092.00,462816.00,320868.00,288122.00,32746.00,45535.00,96413.00,69524.00,96413.00,15606.00,7451.00,5502.00,2653.00,42495.00,16510.00,24541.00,391.00,1053.00,69524.00,33534.00,2937.00,33053.00,33053.00,33165.00,33053.00,-112.00,39428.00,80234.00,48092.00,586.00,6701.00,-6264.00,-6264.00,33094.00,2639.00,2733.00,-626.00,532.00,2403.00,1147.00,345.00,429.00,482.00,554.00,566.00,-12.00,5188.00,0.00,178.00,4978.00,32.00,0.00,806.00,21504.00,18525.00,2979.00,49685.00,14108.00,1215.00,0.00,12893.00,17461.00,12297.00,9837.00,2460.00,5164.00,598.00,-159.00,757.00,6806.00,201.00,6605.00,10712.00,16447.00,1105.00,-6840.00,-16591.00,-8274.00,0.00,-1597.00,10327.00,-3651.00,38109.00,27741.00,8845.00,1975.00,-452.00,2797.00,32.00,2765.00,130986.00,131088.00,-102.00,-90080.00,-65189.00,1308179.00,980229.00,524866.00,249675.00,52536.00,153153.00,327949.00,48474.00,37831.00,9056.00,1587.00,19274.00,5099.00,8959.00,1434.00,3782.00,15017.00,14917.00,1121.00,13796.00,100.00,71810.00,0.00,845.00,70780.00,185.00,0.00,8923.00,164452.00,160123.00,4329.00,1308179.00,1291384.00,139274.00,4249.00,0.00,135025.00,146800.00,104401.00,86106.00,18296.00,42399.00,851400.00,843150.00,8250.00,34753.00,1671.00,33082.00,119157.00,126472.00,14330.00,-21645.00,16795.00
1969,554583.00,53484.00,501099.00,356064.00,318844.00,37220.00,50181.00,94854.00,65046.00,94854.00,19068.00,10026.00,5971.00,3071.00,48876.00,22434.00,24997.00,352.00,1093.00,65046.00,33344.00,3047.00,28655.00,28655.00,28732.00,28655.00,-77.00,43296.00,89161.00,53484.00,-332.00,7952.00,-14564.00,-14564.00,34241.00,-213.00,5605.00,-5404.00,-414.00,-1524.00,2529.00,-3313.00,242.00,-982.00,2557.00,2421.00,136.00,5698.00,0.00,55.00,5574.00,69.00,0.00,1170.00,26553.00,22823.00,3730.00,58081.00,13082.00,1107.00,0.00,11975.00,19728.00,18835.00,9556.00,9279.00,893.00,4586.00,3406.00,1180.00,11713.00,39.00,11674.00,8972.00,19504.00,-1702.00,-8830.00,-23840.00,-2546.00,0.00,860.00,9276.00,-5870.00,50422.00,37541.00,9021.00,2938.00,922.00,3290.00,-155.00,3445.00,-141321.00,-141481.00,160.00,195033.00,221219.00,1445940.00,1083781.00,580412.00,276197.00,59275.00,167897.00,362159.00,48261.00,43436.00,3652.00,1173.00,17750.00,7628.00,5646.00,1676.00,2800.00,17574.00,17338.00,3311.00,14027.00,236.00,80797.00,0.00,745.00,79799.00,253.00,0.00,10093.00,187684.00,182946.00,4738.00,1445940.00,1207926.00,152356.00,5356.00,0.00,147000.00,166523.00,123231.00,95655.00,27576.00,43292.00,714665.00,705075.00,9590.00,50915.00,1710.00,49205.00,123467.00,145977.00,12628.00,-35138.00,238014.00
