date,FA526902505.A,FA526300081.A,FA526902605.A,FA526025005.A,FA526020001.A,FA526401001.A,FA526240101.A,FA526402101.A,FA526140005.A,FA526402101.A,FA526150105.A,FA526130101.A,FA526121101.A,FA523092281.A,FA526150005.A,FA526130001.A,FA526120005.A,FA526121001.A,FA526122001.A,FA523192281.A,FA526112001.A,FA526140005.A,FA526220001.A,FA526403001.A,FA526012005.A,FA526012005.A,FA526006385.A,FA526012005.A,FA525440083.A,FA525015085.A,FA525013081.A,FA526300081.A,FA525000995.A,FA525000995.A,FA524090005.A,FA523020005.A,FA524022005.A,FA523069105.A,FA523061105.A,FA523061705.A,FA523062005.A,FA523063005.A,FA524035005.A,FA524041005.A,FA523065005.A,FA523081005.A,FA523064105.A,FA523064205.A,FA523034005.A,FA523092405.A,FA523092005.A,FA543077073.A,FA523096005.A,FA524190005.A,FA673090543.A,FA524141005.A,FA523181105.A,FA523164105.A,FA523192005.A,FA523194735.A,FA523152005.A,FA523196105.A,FA525000005.A,FV528090185.A,FV522010095.A,FV528090085.A,FU527005045.A,FR522010095.A,FR525013665.A,FR525013265.A,FR525013765.A,FR524090085.A,FR524022005.A,FR523064105.A,FR523064205.A,FR523092005.A,FR524190085.A,FR523164105.A,FR523192005.A,FR523194735.A,FR523152005.A,FR528200005.A,FC522090095.A,FL522000095.A,FL522010095.A,FL525013665.A,FL525013265.A,FL525013765.A,FL524090005.A,FL523020005.A,LM524022005.A,LM523069105.A,LM523061105.A,LM523061705.A,LM523062005.A,LM523063005.A,FL524035005.A,FL524041005.A,FL523065005.A,FL523081005.A,LM523064105.A,LM523064205.A,FL523034005.A,FL523092405.A,FL523092005.A,FL543077073.A,FL523096005.A,FL522100005.A,FL524194005.A,FL673090543.A,FL524141005.A,FL523181105.A,LM523164105.A,FL523192005.A,FL523194735.A,FL523152005.A,FL523196105.A,FL522090095.A
2001,215122.00,18553.00,196569.00,91613.00,76109.00,15504.00,14026.00,90930.00,22899.00,90930.00,203663.00,191303.00,9147.00,3213.00,271694.00,253795.00,18916.00,13704.00,5212.00,-1017.00,0.00,22899.00,11138.00,20914.00,-9153.00,-9153.00,-16890.00,-9153.00,7737.00,4575.00,23128.00,18553.00,-21465.00,-21465.00,237722.00,41300.00,119568.00,-33411.00,861.00,27048.00,-6898.00,131969.00,12990.00,5816.00,7174.00,28603.00,1152.00,21097.00,6565.00,-89.00,-122.00,-443.00,35704.00,239672.00,15315.00,3572.00,4674.00,-390.00,6431.00,-1367.00,179274.00,36837.00,-1950.00,56792.00,-125.00,37402.00,-19515.00,2098.00,3592.00,-1266.00,-229.00,-134560.00,16192.00,-56824.00,-93570.00,-358.00,-144739.00,-24320.00,-5040.00,0.00,-115379.00,12277.00,52179.00,4452685.00,179826.00,108385.00,46119.00,25322.00,4272859.00,49941.00,2274818.00,65642.00,117922.00,350187.00,196919.00,1544148.00,360312.00,115334.00,244978.00,1156347.00,381878.00,658537.00,57823.00,276.00,57833.00,19117.00,412324.00,4452685.00,4424782.00,27191.00,6053.00,842631.00,721846.00,105152.00,15633.00,3285973.00,262934.00,27903.00
2002,181396.00,19890.00,161506.00,93575.00,77510.00,16065.00,15136.00,52795.00,9024.00,52795.00,211423.00,197270.00,9042.00,5111.00,255194.00,232312.00,22823.00,16690.00,6133.00,59.00,0.00,9024.00,13139.00,-5581.00,1466.00,1466.00,1466.00,1466.00,0.00,2192.00,22082.00,19890.00,-726.00,-726.00,337835.00,11253.00,261560.00,6444.00,46674.00,98143.00,7208.00,103091.00,13630.00,6525.00,7105.00,52477.00,19086.00,8487.00,10569.00,219.00,14116.00,886.00,-1971.00,302732.00,19954.00,13917.00,15060.00,-295.00,11401.00,3954.00,220426.00,33375.00,35103.00,32220.00,0.00,-3610.00,-35829.00,1895.00,3128.00,-823.00,-411.00,-92490.00,56604.00,-66844.00,-101502.00,19252.00,-200573.00,-63729.00,-3633.00,0.00,-133211.00,109978.00,143663.00,4704069.00,185865.00,111033.00,46280.00,28552.00,4518204.00,61194.00,2592982.00,72086.00,167705.00,453639.00,213126.00,1686426.00,373942.00,121859.00,252083.00,1059730.00,334120.00,565522.00,68392.00,495.00,91201.00,20003.00,410353.00,4704069.00,4532503.00,47145.00,19970.00,790329.00,657822.00,112920.00,19587.00,3373188.00,301871.00,171566.00
2003,200699.00,21558.00,179141.00,98096.00,82383.00,15713.00,16982.00,64063.00,17654.00,64063.00,206425.00,191635.00,8039.00,6751.00,252834.00,231789.00,20639.00,14720.00,5919.00,406.00,0.00,17654.00,26376.00,-26959.00,18237.00,18237.00,18237.00,18237.00,0.00,4095.00,25653.00,21558.00,14142.00,14142.00,319964.00,20838.00,218128.00,-19838.00,5152.00,19337.00,38754.00,174723.00,8989.00,-2099.00,11088.00,42101.00,-369.00,49688.00,-12310.00,652.00,4440.00,943.00,28965.00,294470.00,21285.00,4874.00,1802.00,183.00,-2202.00,3821.00,210112.00,56397.00,25494.00,15110.00,0.00,3758.00,-11352.00,1474.00,2753.00,-637.00,-643.00,264125.00,39472.00,75148.00,146146.00,3359.00,343600.00,157836.00,4118.00,0.00,181646.00,-78001.00,-44654.00,5293104.00,194363.00,113700.00,48047.00,32616.00,5098741.00,82032.00,2850582.00,52248.00,169611.00,471344.00,258643.00,1898736.00,382932.00,119761.00,263171.00,1326484.00,408899.00,761356.00,56082.00,1147.00,99000.00,21619.00,435092.00,5293104.00,5166192.00,68430.00,24844.00,954085.00,815841.00,114836.00,23408.00,3764946.00,353887.00,126912.00
2004,254164.00,23461.00,230703.00,103952.00,87167.00,16785.00,18909.00,107842.00,68901.00,107842.00,219166.00,199340.00,11889.00,7937.00,258107.00,237499.00,19114.00,12963.00,6151.00,1494.00,0.00,68901.00,31476.00,-13095.00,50520.00,50520.00,34338.00,50520.00,16182.00,2712.00,26173.00,23461.00,31626.00,31626.00,310290.00,-2762.00,206231.00,-11789.00,20339.00,1283.00,39483.00,156915.00,16516.00,3873.00,12643.00,65155.00,-6349.00,57963.00,2075.00,557.00,10909.00,1506.00,23644.00,267457.00,19565.00,856.00,-2827.00,-21260.00,15962.00,2471.00,213122.00,36741.00,42833.00,13674.00,-108.00,2575.00,-11207.00,10589.00,10241.00,643.00,-295.00,189429.00,63827.00,41259.00,87774.00,-3431.00,163824.00,61519.00,-2777.00,0.00,105082.00,36194.00,84206.00,5807855.00,209395.00,123072.00,50195.00,36128.00,5598460.00,79270.00,3120640.00,40459.00,191886.00,481213.00,311365.00,2095717.00,399448.00,123634.00,275814.00,1517241.00,443809.00,907093.00,58157.00,1704.00,106478.00,23125.00,458736.00,5807855.00,5596737.00,87995.00,25700.00,1010000.00,856100.00,128021.00,25879.00,4083150.00,389892.00,211118.00
2005,269942.00,24682.00,245260.00,108305.00,89815.00,18490.00,19730.00,117225.00,61046.00,117225.00,233448.00,220173.00,12480.00,795.00,289627.00,264711.00,23716.00,17121.00,6595.00,1200.00,0.00,61046.00,32584.00,-21321.00,49783.00,49783.00,22059.00,49783.00,27724.00,-344.00,24338.00,24682.00,22403.00,22403.00,256808.00,-10406.00,173329.00,536.00,14789.00,17375.00,41934.00,98695.00,17090.00,4683.00,12407.00,48727.00,20447.00,20721.00,-4515.00,-124.00,12198.00,939.00,27129.00,204660.00,15094.00,8004.00,-855.00,-10814.00,211.00,9748.00,179833.00,2584.00,52148.00,35489.00,-172.00,5916.00,-29745.00,11636.00,11638.00,-252.00,249.00,-456.00,-67371.00,-1779.00,65053.00,3641.00,100281.00,29552.00,-2309.00,0.00,73038.00,-89101.00,-31553.00,6076207.00,221275.00,134200.00,49791.00,37284.00,5854932.00,68864.00,3220360.00,40995.00,205221.00,489796.00,354265.00,2130083.00,416538.00,128317.00,288221.00,1632883.00,462477.00,992867.00,53642.00,1580.00,122317.00,22985.00,493302.00,6076207.00,5896642.00,103089.00,32104.00,1036388.00,874838.00,125923.00,35627.00,4335144.00,389917.00,179565.00
2006,286726.00,25174.00,261552.00,113936.00,95283.00,18653.00,20442.00,127174.00,57972.00,127174.00,265578.00,240172.00,15295.00,10111.00,334780.00,309011.00,23604.00,17234.00,6370.00,2165.00,0.00,57972.00,45295.00,-39947.00,52624.00,52624.00,52624.00,52624.00,0.00,-995.00,24179.00,25174.00,53619.00,53619.00,237803.00,17270.00,86979.00,5052.00,-3242.00,930.00,23680.00,60559.00,28051.00,9001.00,19050.00,61616.00,-28428.00,68576.00,17545.00,25.00,3898.00,568.00,43319.00,158221.00,11982.00,2909.00,11653.00,-28545.00,37500.00,2698.00,125830.00,5847.00,79582.00,30478.00,0.00,4515.00,-25963.00,11163.00,10316.00,297.00,551.00,167810.00,-26795.00,59556.00,135820.00,-771.00,307053.00,139844.00,7809.00,0.00,159400.00,-128080.00,-44978.00,6492554.00,232009.00,144296.00,49727.00,37986.00,6260545.00,86134.00,3245588.00,46047.00,198771.00,501687.00,379521.00,2119562.00,444589.00,137318.00,307271.00,1924060.00,528561.00,1197263.00,71187.00,1605.00,125444.00,23553.00,536621.00,6492554.00,6357967.00,115071.00,35013.00,1195694.00,986137.00,171232.00,38325.00,4620374.00,391815.00,134587.00
2007,308848.00,25635.00,283213.00,118151.00,99091.00,19060.00,21093.00,143969.00,73750.00,143969.00,294977.00,267411.00,17412.00,10154.00,365196.00,339346.00,24511.00,18115.00,6396.00,1339.00,0.00,73750.00,42440.00,-7592.00,38902.00,38902.00,38902.00,38902.00,0.00,361.00,25996.00,25635.00,38541.00,38541.00,251830.00,14936.00,68292.00,10549.00,-57241.00,3315.00,68075.00,43594.00,38835.00,15141.00,23694.00,92027.00,-27415.00,81511.00,13867.00,632.00,23432.00,1043.00,36697.00,169151.00,13373.00,12712.00,-32452.00,-43859.00,6074.00,5333.00,127953.00,47565.00,82679.00,46463.00,0.00,2325.00,-44138.00,5699.00,6011.00,-569.00,258.00,47019.00,-32116.00,9354.00,71973.00,-2192.00,-145870.00,-192838.00,-31968.00,0.00,78936.00,198588.00,283953.00,6798267.00,238873.00,150761.00,48933.00,39179.00,6559394.00,101070.00,3281764.00,56596.00,146337.00,515341.00,422023.00,2141467.00,483424.00,152459.00,330965.00,2095222.00,510500.00,1350747.00,85054.00,2237.00,146684.00,24596.00,573318.00,6798267.00,6379727.00,128444.00,47725.00,938436.00,749440.00,145338.00,43658.00,4827263.00,437859.00,418540.00
2008,258241.00,26684.00,231557.00,119511.00,99272.00,20239.00,21419.00,90627.00,27861.00,90627.00,301519.00,273755.00,19201.00,8563.00,364285.00,342045.00,21518.00,15461.00,6057.00,722.00,0.00,27861.00,20712.00,31512.00,-24363.00,-24363.00,-21545.00,-24363.00,-2818.00,759.00,27443.00,26684.00,-22304.00,-22304.00,299998.00,9793.00,24535.00,1556.00,14004.00,-16476.00,40400.00,-14949.00,42855.00,26406.00,16449.00,113051.00,61696.00,-9503.00,48435.00,966.00,11457.00,3186.00,106578.00,205447.00,-6197.00,19576.00,4555.00,-10317.00,27365.00,-12493.00,169177.00,18336.00,94551.00,122659.00,-63.00,5867.00,-116855.00,10302.00,9234.00,863.00,205.00,-1035921.00,-336295.00,-191343.00,-477708.00,-30575.00,-984569.00,-386377.00,-61256.00,0.00,-536936.00,-41050.00,60064.00,6073567.00,250096.00,159414.00,49490.00,41192.00,5823471.00,110863.00,2970004.00,58152.00,185513.00,484522.00,430223.00,1811594.00,526279.00,178865.00,347414.00,1508647.00,380853.00,863536.00,133489.00,3203.00,127566.00,27782.00,679896.00,6073567.00,5594963.00,122247.00,67301.00,495358.00,352746.00,111447.00,31165.00,4459504.00,450553.00,478604.00
2009,285688.00,27630.00,258058.00,115982.00,97371.00,18611.00,22105.00,119971.00,55571.00,119971.00,273076.00,251549.00,12227.00,9300.00,337476.00,325746.00,11304.00,5380.00,5924.00,426.00,0.00,55571.00,24998.00,-4863.00,35436.00,35436.00,40887.00,35436.00,-5451.00,116.00,27746.00,27630.00,40771.00,40771.00,44524.00,-32474.00,153916.00,3057.00,50513.00,21299.00,-7725.00,86772.00,-26959.00,-10120.00,-16839.00,34179.00,-2175.00,43465.00,-24709.00,-323.00,17921.00,-4928.00,-79210.00,-14473.00,-34130.00,-6578.00,16579.00,-6226.00,13512.00,9293.00,100170.00,-90514.00,58997.00,8731.00,0.00,-9495.00,-18226.00,-8368.00,-7314.00,-687.00,-368.00,580089.00,322410.00,33260.00,217249.00,7170.00,305566.00,49443.00,9095.00,0.00,247028.00,266155.00,315773.00,6689675.00,241591.00,151726.00,47288.00,42577.00,6448084.00,78389.00,3458882.00,61209.00,222851.00,501606.00,457610.00,2215606.00,486768.00,156193.00,330575.00,1800505.00,411938.00,1124250.00,108780.00,2880.00,152657.00,22854.00,600686.00,6689675.00,5895298.00,88117.00,60723.00,570475.00,395963.00,134054.00,40458.00,4806702.00,369281.00,794377.00
2010,269236.00,27359.00,241877.00,118675.00,99534.00,19141.00,22255.00,100947.00,65176.00,100947.00,287314.00,248028.00,27884.00,11402.00,323085.00,304627.00,17133.00,13452.00,3681.00,1325.00,0.00,65176.00,28856.00,-8393.00,44713.00,44713.00,44713.00,44713.00,0.00,-4269.00,23090.00,27359.00,48982.00,48982.00,197793.00,5934.00,139873.00,-10872.00,23863.00,710.00,11687.00,114485.00,-8885.00,39.00,-8924.00,21474.00,4550.00,61582.00,-24197.00,-84.00,-20377.00,2645.00,36752.00,139338.00,-9649.00,-4822.00,13852.00,-17517.00,9135.00,22234.00,150840.00,-10883.00,58455.00,4222.00,0.00,-5252.00,-9473.00,235.00,226.00,190.00,-181.00,295374.00,131244.00,24326.00,126734.00,13070.00,202690.00,42498.00,11853.00,0.00,148339.00,92919.00,141853.00,7178443.00,237192.00,149582.00,46349.00,41261.00,6941251.00,84323.00,3729999.00,50337.00,254003.00,506355.00,469557.00,2449747.00,477883.00,156232.00,321651.00,1986109.00,440814.00,1312566.00,84583.00,2796.00,145350.00,25499.00,637438.00,7178443.00,6242213.00,78468.00,55901.00,638678.00,420944.00,155042.00,62692.00,5105881.00,363285.00,936230.00
2011,253209.00,27028.00,226181.00,127220.00,107121.00,20099.00,23113.00,75848.00,23323.00,75848.00,266257.00,241721.00,12990.00,11546.00,318782.00,302783.00,13629.00,10822.00,2807.00,2370.00,0.00,23323.00,22967.00,-13899.00,14255.00,14255.00,14255.00,14255.00,0.00,-2375.00,24653.00,27028.00,16630.00,16630.00,192534.00,-6396.00,76250.00,-11235.00,14923.00,-643.00,-28871.00,102076.00,17255.00,1464.00,15791.00,34939.00,17353.00,10955.00,2966.00,-753.00,4418.00,-466.00,70952.00,178544.00,-8455.00,5123.00,-20454.00,-22251.00,-7543.00,9340.00,222551.00,-20221.00,13990.00,-15777.00,0.00,-13137.00,2640.00,5682.00,5146.00,493.00,43.00,150049.00,195651.00,2890.00,-43107.00,-5385.00,-74576.00,-61469.00,29996.00,0.00,-43103.00,230307.00,228785.00,7524090.00,240256.00,152323.00,46150.00,41783.00,7283834.00,77927.00,4001900.00,39102.00,297323.00,534014.00,490414.00,2641047.00,495138.00,157696.00,337442.00,1975446.00,461057.00,1280414.00,87549.00,2043.00,144383.00,25033.00,708390.00,7524090.00,6359075.00,70013.00,61024.00,586751.00,337224.00,177495.00,72032.00,5285329.00,355958.00,1165015.00
2012,268726.00,27701.00,241025.00,132218.00,112130.00,20088.00,23669.00,85138.00,12854.00,85138.00,264427.00,238118.00,15532.00,10777.00,336711.00,311300.00,22560.00,19073.00,3487.00,2851.00,0.00,12854.00,29123.00,-67750.00,51481.00,51481.00,37149.00,51481.00,14332.00,-153.00,27548.00,27701.00,37302.00,37302.00,87377.00,14940.00,37436.00,13139.00,-2681.00,-26046.00,-981.00,54005.00,15772.00,3155.00,12617.00,6068.00,1905.00,2161.00,-4320.00,51.00,6271.00,632.00,12529.00,75402.00,-377.00,4854.00,-11139.00,-24459.00,9865.00,3455.00,35026.00,47038.00,11975.00,-39683.00,-144.00,-14212.00,25327.00,2063.00,2169.00,-28.00,-78.00,296138.00,80575.00,52155.00,146493.00,16915.00,235929.00,79458.00,-23949.00,0.00,180420.00,62272.00,59738.00,7910206.00,242857.00,152100.00,46407.00,44350.00,7667349.00,92867.00,4119911.00,52241.00,290196.00,512955.00,487451.00,2777068.00,510910.00,160851.00,350059.00,2197077.00,515117.00,1429068.00,83229.00,2094.00,167569.00,25665.00,720919.00,7910206.00,6685453.00,69636.00,65878.00,584070.00,392223.00,163411.00,28436.00,5500775.00,465094.00,1224753.00
2013,260797.00,29571.00,231226.00,133681.00,113335.00,20346.00,25384.00,72161.00,11665.00,72161.00,277476.00,248427.00,16188.00,12861.00,337972.00,312775.00,23230.00,18364.00,4866.00,1967.00,0.00,11665.00,33784.00,-63826.00,41707.00,41707.00,41707.00,41707.00,0.00,3410.00,32981.00,29571.00,38297.00,38297.00,108740.00,-15954.00,112496.00,7924.00,-7131.00,-12599.00,8870.00,115432.00,19064.00,-2012.00,21076.00,-25120.00,-8801.00,-18306.00,-13668.00,891.00,14764.00,3025.00,15229.00,111777.00,-8487.00,8694.00,-12388.00,-16768.00,11965.00,-7585.00,49501.00,74457.00,-3037.00,-18910.00,0.00,22424.00,41334.00,5284.00,4666.00,279.00,340.00,158474.00,-202237.00,110685.00,256966.00,-6940.00,388712.00,122189.00,-43161.00,0.00,309684.00,-224954.00,-202157.00,8185382.00,250819.00,155101.00,47381.00,48337.00,7934563.00,76913.00,4030170.00,60165.00,267307.00,475709.00,481635.00,2745354.00,529974.00,158839.00,371135.00,2532668.00,617001.00,1667728.00,69561.00,2985.00,175393.00,28690.00,736148.00,8185382.00,7162786.00,61149.00,74572.00,645806.00,497644.00,132215.00,15947.00,5859960.00,521299.00,1022596.00
2014,322689.00,30999.00,291690.00,137680.00,116899.00,20781.00,35177.00,118833.00,57552.00,118833.00,281888.00,252568.00,16882.00,12438.00,343169.00,320762.00,19708.00,14925.00,4783.00,2699.00,0.00,57552.00,39566.00,-38394.00,56380.00,56380.00,56380.00,56380.00,0.00,-180.00,30819.00,30999.00,56560.00,56560.00,163685.00,9480.00,76465.00,-4737.00,20699.00,-29059.00,-7705.00,97267.00,31624.00,8032.00,23592.00,-28910.00,-1688.00,-31789.00,2059.00,94.00,2414.00,1226.00,73800.00,79590.00,9215.00,2477.00,-24305.00,-31798.00,6631.00,862.00,86912.00,5291.00,84095.00,16405.00,0.00,-11131.00,-27535.00,3408.00,3458.00,466.00,-517.00,267122.00,144840.00,33815.00,84064.00,4403.00,194140.00,59055.00,26069.00,0.00,109016.00,76390.00,149174.00,8620297.00,254927.00,158166.00,47772.00,48989.00,8365370.00,86393.00,4251475.00,55428.00,303151.00,478146.00,503973.00,2910777.00,561598.00,166871.00,394727.00,2626040.00,649128.00,1720003.00,71620.00,3079.00,182210.00,29916.00,809948.00,8620297.00,7448527.00,70364.00,77049.00,706625.00,524901.00,164915.00,16809.00,6055888.00,538601.00,1171770.00
2015,355334.00,31417.00,323917.00,142046.00,120844.00,21202.00,40151.00,141720.00,83953.00,141720.00,279266.00,251071.00,17577.00,10618.00,337033.00,308171.00,26570.00,21469.00,5101.00,2292.00,0.00,83953.00,42556.00,-6874.00,48271.00,48271.00,48271.00,48271.00,0.00,1539.00,32956.00,31417.00,46732.00,46732.00,164461.00,4358.00,103230.00,-5515.00,15101.00,-15451.00,19139.00,89956.00,41436.00,-914.00,42350.00,-22374.00,-4659.00,-28611.00,5960.00,465.00,4471.00,1708.00,36103.00,111440.00,1573.00,7639.00,-13117.00,-32033.00,19169.00,-253.00,117702.00,-2357.00,53021.00,17622.00,0.00,11333.00,-6289.00,2543.00,2704.00,-141.00,-20.00,-231332.00,-164189.00,-12814.00,-39447.00,-14882.00,-71160.00,-10991.00,-15281.00,0.00,-44888.00,-157629.00,-91736.00,8558655.00,260156.00,161173.00,47933.00,51050.00,8298499.00,90751.00,4190516.00,49913.00,310723.00,449266.00,517494.00,2863120.00,603034.00,165957.00,437077.00,2536523.00,631655.00,1651945.00,77580.00,3544.00,171799.00,31624.00,846051.00,8558655.00,7478621.00,71937.00,84688.00,667236.00,481877.00,168803.00,16556.00,6128702.00,526058.00,1080034.00
