date,FA796902505.A,FA796300081.A,FA796902605.A,FA796025005.A,FA796020001.A,FA796401001.A,FA796240101.A,FA796402101.A,FA796140005.A,FA796402101.A,FA796150105.A,FA796130101.A,FA796121101.A,FA793092281.A,FA796150005.A,FA796130001.A,FA796120005.A,FA796121001.A,FA796122001.A,FA793192281.A,FA796112001.A,FA796140005.A,FA796220001.A,FA796403005.A,FA796012095.A,FA796012095.A,FA796006385.A,FA796012095.A,FA795440005.A,FA795015085.A,FA795013005.A,FA796300081.A,FA795000995.A,FA795000995.A,FA794090005.A,FA713011203.A,FA794000005.A,FA794022005.A,FA793069175.A,FA793061105.A,FA793061705.A,FA793062005.A,FA793063005.A,FA794035005.A,FA794041005.A,FA793065005.A,FA793081005.A,FA793064105.A,FA793064205.A,FA793034005.A,FA793092405.A,FA793092005.A,FA713164003.A,FA793094005.A,FA793052005.A,FA793096005.A,FA794190005.A,FA794100005.A,FA794122005.A,FA423161705.A,FA793163005.A,FA793169175.A,FA794135005.A,FA794141005.A,FA643165005.A,FA793181005.A,FA634090005.A,FA793164105.A,FA653164205.A,FA403192405.A,FA793192005.A,FA662090205.A,FA793194005.A,FA713164003.A,FA583152005.A,FA793196005.A,FA795000005.A,FV798090185.A,FV792010095.A,FV798090085.A,FU797005045.A,FR792010095.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090085.A,FR794022005.A,FR793064105.A,FR793064205.A,FR793092005.A,FR593052025.A,FR794190085.A,FR793164105.A,FR653164205.A,FR793192005.A,FR662090205.A,FR793194005.A,FR583152005.A,FR798200005.A,FC792090095.A,FL792000095.A,FL792010095.A,FL795013665.A,FL795013265.A,FL795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL793065005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,FL793092005.A,FL713164003.A,FL793094005.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL643165005.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,FL793192005.A,FL662090205.A,FL793194005.A,FL713164003.A,FL583152005.A,FL793196005.A,FL792090095.A
1960,20652.00,1182.00,19471.00,11396.00,10448.00,948.00,1536.00,6539.00,7503.00,6539.00,31950.00,29637.00,2263.00,50.00,30986.00,26085.00,4860.00,3218.00,1642.00,41.00,0.00,7503.00,3640.00,243.00,3619.00,3619.00,3619.00,3619.00,0.00,845.00,2027.00,1182.00,2774.00,2774.00,55743.00,-1689.00,264.00,11536.00,656.00,2819.00,1256.00,2044.00,4761.00,25357.00,11240.00,14117.00,6361.00,6096.00,0.00,0.00,123.00,120.00,22.00,0.00,13194.00,720.00,51989.00,17726.00,5699.00,738.00,3236.00,1725.00,-767.00,-767.00,0.00,2392.00,0.00,1075.00,1049.00,176.00,70.00,0.00,0.00,22.00,28308.00,-1369.00,3754.00,1072.00,0.00,92.00,-980.00,-203.00,-190.00,-11.00,-2.00,-2020.00,0.00,-1908.00,0.00,0.00,-112.00,-1996.00,-141.00,159.00,-2.00,0.00,0.00,-2012.00,-227.00,4464.00,891383.00,16911.00,12756.00,4110.00,45.00,874472.00,17767.00,35670.00,258559.00,1915.00,135796.00,5513.00,34835.00,80500.00,303931.00,136503.00,167428.00,53796.00,51203.00,0.00,0.00,989.00,1195.00,409.00,0.00,193674.00,11075.00,891383.00,873744.00,356265.00,23616.00,8061.00,9780.00,5775.00,14226.00,14226.00,0.00,76640.00,0.00,55908.00,17026.00,1690.00,1607.00,0.00,0.00,409.00,386087.00,16910.00,17639.00
1961,21815.00,1220.00,20595.00,12295.00,11285.00,1010.00,1632.00,6668.00,7438.00,6668.00,34186.00,31712.00,2430.00,44.00,33416.00,28131.00,5228.00,3360.00,1868.00,57.00,0.00,7438.00,3471.00,239.00,3728.00,3728.00,3728.00,3728.00,0.00,795.00,2015.00,1220.00,2933.00,2933.00,66687.00,-878.00,2425.00,19704.00,844.00,8834.00,851.00,3850.00,5325.00,26429.00,9853.00,16576.00,5823.00,5534.00,0.00,0.00,118.00,135.00,36.00,0.00,12197.00,987.00,62479.00,28051.00,1952.00,703.00,722.00,527.00,1535.00,1535.00,0.00,967.00,0.00,-923.00,1671.00,145.00,38.00,0.00,0.00,36.00,28654.00,1320.00,4208.00,1012.00,0.00,-264.00,-1275.00,154.00,171.00,-15.00,-3.00,5878.00,0.00,9332.00,0.00,0.00,-3454.00,25848.00,23533.00,4178.00,162.00,0.00,0.00,-2025.00,-19817.00,-15077.00,964918.00,17853.00,13624.00,4159.00,70.00,947065.00,16889.00,38016.00,278263.00,2759.00,144630.00,6364.00,38685.00,85825.00,330360.00,146356.00,184004.00,68951.00,66069.00,0.00,0.00,1107.00,1330.00,445.00,0.00,202770.00,11816.00,964918.00,962356.00,384316.00,25568.00,8764.00,10502.00,6302.00,15761.00,15761.00,0.00,105480.00,0.00,78518.00,22875.00,1835.00,1807.00,0.00,0.00,445.00,413073.00,18158.00,2562.00
1962,22536.00,1275.00,21260.00,12986.00,11819.00,1167.00,1668.00,6607.00,7973.00,6607.00,38096.00,35140.00,2904.00,52.00,36729.00,31192.00,5485.00,3670.00,1815.00,52.00,0.00,7973.00,3504.00,283.00,4186.00,4186.00,4186.00,4186.00,0.00,981.00,2257.00,1275.00,3205.00,3205.00,75776.00,-911.00,2120.00,18394.00,233.00,4581.00,1861.00,5758.00,5961.00,35328.00,14375.00,20953.00,7522.00,7124.00,204.00,0.00,19.00,153.00,22.00,0.00,11097.00,2227.00,72613.00,33984.00,3144.00,1637.00,331.00,1176.00,2580.00,2580.00,0.00,1686.00,0.00,326.00,1250.00,49.00,39.00,0.00,0.00,22.00,28548.00,2671.00,3163.00,106.00,0.00,148.00,42.00,221.00,227.00,-6.00,1.00,-8318.00,0.00,-10936.00,-10.00,0.00,2628.00,-10499.00,-4049.00,-2854.00,-128.00,0.00,0.00,-3468.00,2402.00,6694.00,1024356.00,19048.00,14583.00,4363.00,102.00,1005308.00,15978.00,40225.00,296657.00,2992.00,149211.00,8225.00,44443.00,91786.00,365688.00,160731.00,204957.00,65527.00,62257.00,194.00,0.00,1126.00,1483.00,467.00,0.00,207048.00,14185.00,1024356.00,1015100.00,418300.00,28712.00,10401.00,10833.00,7478.00,18341.00,18341.00,0.00,100135.00,0.00,74795.00,21271.00,1884.00,1718.00,0.00,0.00,467.00,428710.00,20902.00,9256.00
1963,23278.00,1342.00,21937.00,13831.00,12522.00,1309.00,1841.00,6265.00,7724.00,6265.00,41672.00,38720.00,2886.00,67.00,40214.00,34166.00,5994.00,4004.00,1990.00,54.00,0.00,7724.00,3617.00,701.00,3406.00,3406.00,3406.00,3406.00,0.00,908.00,2249.00,1342.00,2498.00,2498.00,81141.00,-465.00,-821.00,12570.00,115.00,1267.00,480.00,4382.00,6326.00,46157.00,20665.00,25492.00,8018.00,7791.00,-20.00,0.00,45.00,172.00,30.00,0.00,13061.00,2621.00,79893.00,33644.00,4462.00,1648.00,1551.00,1263.00,3663.00,3663.00,0.00,2051.00,0.00,1038.00,967.00,18.00,-2.00,0.00,0.00,30.00,32184.00,3889.00,1248.00,-1912.00,0.00,-663.00,1250.00,177.00,192.00,-18.00,2.00,2806.00,0.00,6047.00,19.00,0.00,-3260.00,11851.00,11718.00,2977.00,95.00,0.00,0.00,-2939.00,-8868.00,-7375.00,1107909.00,20124.00,15512.00,4468.00,144.00,1087785.00,15513.00,39420.00,309227.00,3107.00,150478.00,8705.00,48825.00,98112.00,411845.00,181396.00,230449.00,79611.00,76095.00,193.00,0.00,1171.00,1655.00,497.00,0.00,216069.00,16100.00,1107909.00,1106028.00,451944.00,33174.00,12049.00,12384.00,8741.00,22004.00,22004.00,0.00,116976.00,0.00,87551.00,25215.00,1902.00,1811.00,0.00,0.00,497.00,457178.00,24752.00,1881.00
1964,25569.00,1434.00,24135.00,14899.00,13478.00,1421.00,2079.00,7157.00,8548.00,7157.00,46387.00,42745.00,3577.00,66.00,44996.00,38142.00,6779.00,4572.00,2207.00,75.00,0.00,8548.00,4267.00,890.00,3393.00,3393.00,3393.00,3393.00,0.00,1501.00,2935.00,1434.00,1892.00,1892.00,91349.00,-125.00,1494.00,17050.00,267.00,5077.00,881.00,3578.00,7247.00,47088.00,21082.00,26006.00,9109.00,8624.00,209.00,0.00,56.00,193.00,27.00,0.00,14142.00,2591.00,88899.00,40003.00,5648.00,512.00,3141.00,1995.00,1787.00,1787.00,0.00,1275.00,0.00,7.00,1190.00,28.00,23.00,0.00,0.00,27.00,37214.00,2972.00,2450.00,435.00,0.00,-124.00,-559.00,523.00,564.00,-43.00,2.00,1208.00,0.00,4565.00,14.00,0.00,-3371.00,7394.00,8463.00,2711.00,100.00,0.00,0.00,-3880.00,-5663.00,-1836.00,1201880.00,22138.00,16947.00,4961.00,230.00,1179742.00,15388.00,40946.00,326277.00,3374.00,155555.00,9586.00,52403.00,105359.00,458933.00,202478.00,256455.00,93299.00,89284.00,416.00,0.00,1227.00,1848.00,524.00,0.00,226382.00,18517.00,1201880.00,1201835.00,491947.00,38822.00,12561.00,15525.00,10736.00,24291.00,24291.00,0.00,129525.00,0.00,96021.00,29116.00,1930.00,1934.00,0.00,0.00,524.00,490057.00,27193.00,45.00
1965,27687.00,1607.00,26080.00,15978.00,14395.00,1583.00,2190.00,7912.00,9511.00,7912.00,51141.00,46698.00,4373.00,70.00,49542.00,41915.00,7544.00,5052.00,2492.00,83.00,0.00,9511.00,3928.00,1051.00,4532.00,4532.00,4532.00,4532.00,0.00,1855.00,3462.00,1607.00,2677.00,2677.00,101002.00,-1655.00,1162.00,14646.00,-44.00,1292.00,940.00,4696.00,7762.00,56153.00,29364.00,26789.00,10840.00,10519.00,26.00,0.00,50.00,218.00,27.00,0.00,17767.00,2090.00,98256.00,40920.00,4552.00,2154.00,1205.00,1193.00,5039.00,5039.00,0.00,1513.00,0.00,-706.00,2150.00,99.00,-57.00,0.00,0.00,27.00,42641.00,3591.00,2746.00,-125.00,0.00,-194.00,-69.00,321.00,493.00,-165.00,-8.00,1009.00,0.00,4425.00,38.00,0.00,-3454.00,10188.00,10748.00,3954.00,31.00,0.00,0.00,-4545.00,-8858.00,-4451.00,1305717.00,24311.00,18348.00,5635.00,328.00,1281406.00,13733.00,42461.00,340923.00,3330.00,156847.00,10526.00,57099.00,113121.00,515102.00,231858.00,283244.00,108602.00,104228.00,480.00,0.00,1277.00,2066.00,551.00,0.00,240371.00,20214.00,1305717.00,1310123.00,533255.00,43374.00,14715.00,16730.00,11929.00,29330.00,29330.00,0.00,145771.00,0.00,106063.00,35220.00,2029.00,1908.00,0.00,0.00,551.00,527834.00,30559.00,-4406.00
1966,30126.00,1786.00,28340.00,17382.00,15562.00,1820.00,2324.00,8635.00,9724.00,8635.00,56236.00,52029.00,4130.00,77.00,55146.00,47247.00,7825.00,5207.00,2618.00,74.00,0.00,9724.00,4389.00,275.00,5059.00,5059.00,5059.00,5059.00,0.00,1819.00,3605.00,1786.00,3240.00,3240.00,96390.00,-574.00,3849.00,15959.00,596.00,2063.00,1444.00,2619.00,9237.00,43548.00,22765.00,20783.00,12243.00,11752.00,135.00,0.00,92.00,245.00,19.00,0.00,20959.00,406.00,93141.00,31394.00,10836.00,5503.00,1600.00,3733.00,1389.00,1389.00,0.00,3196.00,0.00,374.00,2482.00,264.00,57.00,0.00,0.00,19.00,48826.00,-2500.00,3249.00,390.00,0.00,381.00,-9.00,710.00,771.00,-51.00,-10.00,-12494.00,0.00,-16463.00,-61.00,0.00,4030.00,-7792.00,1772.00,-2873.00,-161.00,0.00,0.00,-6530.00,-3992.00,1457.00,1393076.00,26836.00,19962.00,6452.00,422.00,1366240.00,13159.00,46286.00,356882.00,3926.00,158910.00,11970.00,59718.00,122358.00,558650.00,254623.00,304027.00,104321.00,99517.00,554.00,0.00,1369.00,2311.00,570.00,0.00,266054.00,20888.00,1393076.00,1396025.00,564649.00,54210.00,20218.00,18330.00,15662.00,30719.00,30719.00,0.00,147705.00,0.00,108209.00,34829.00,2293.00,1804.00,0.00,0.00,570.00,570827.00,27915.00,-2949.00
1967,33625.00,1986.00,31639.00,19274.00,17208.00,2066.00,2541.00,9823.00,10406.00,9823.00,61542.00,57122.00,4339.00,81.00,60959.00,52590.00,8282.00,5396.00,2886.00,87.00,0.00,10406.00,5071.00,454.00,4881.00,4881.00,4881.00,4881.00,0.00,1984.00,3969.00,1986.00,2897.00,2897.00,130530.00,-1177.00,4244.00,38284.00,1185.00,10865.00,3244.00,10442.00,12548.00,45355.00,24889.00,20466.00,14970.00,14612.00,42.00,0.00,26.00,262.00,28.00,0.00,24426.00,4428.00,117971.00,58622.00,3837.00,120.00,968.00,2749.00,2307.00,2307.00,0.00,444.00,0.00,-765.00,1095.00,78.00,8.00,0.00,0.00,28.00,53083.00,-322.00,12559.00,9176.00,0.00,-486.00,-9662.00,737.00,677.00,63.00,-2.00,7196.00,0.00,13339.00,104.00,0.00,-6247.00,14261.00,10204.00,8384.00,86.00,0.00,0.00,-4413.00,-6328.00,7729.00,1530242.00,29548.00,21498.00,7499.00,551.00,1500694.00,11982.00,50747.00,395166.00,5111.00,169775.00,15214.00,70160.00,134906.00,604028.00,279512.00,324516.00,132734.00,127468.00,700.00,0.00,1395.00,2573.00,598.00,0.00,281606.00,24431.00,1530242.00,1525462.00,623271.00,58047.00,20338.00,19298.00,18411.00,33026.00,33026.00,0.00,166823.00,0.00,117648.00,44308.00,2371.00,1898.00,0.00,0.00,598.00,617057.00,27238.00,4780.00
1968,37594.00,2272.00,35322.00,21665.00,19423.00,2242.00,2812.00,10846.00,12421.00,10846.00,69929.00,64794.00,5025.00,110.00,68353.00,58888.00,9372.00,6154.00,3218.00,93.00,0.00,12421.00,6094.00,796.00,5531.00,5531.00,5531.00,5531.00,0.00,2848.00,5119.00,2272.00,2684.00,2684.00,138448.00,-1615.00,5406.00,30021.00,441.00,7953.00,2767.00,9529.00,9331.00,53320.00,27809.00,25511.00,19514.00,19029.00,129.00,0.00,8.00,316.00,32.00,0.00,28512.00,3291.00,141574.00,54747.00,7349.00,3767.00,597.00,2985.00,9003.00,8803.00,200.00,3479.00,0.00,1055.00,2512.00,-153.00,33.00,0.00,0.00,32.00,60560.00,6436.00,-3126.00,-5573.00,0.00,237.00,5810.00,1557.00,1496.00,61.00,0.00,-441.00,0.00,4737.00,29.00,0.00,-5207.00,25788.00,27780.00,4412.00,53.00,0.00,0.00,-6457.00,-24672.00,-24714.00,1675128.00,33950.00,24325.00,8918.00,707.00,1641178.00,10367.00,56022.00,425187.00,5552.00,177728.00,17981.00,79689.00,144237.00,657064.00,307321.00,349743.00,157014.00,151234.00,858.00,0.00,1403.00,2889.00,630.00,0.00,307321.00,28203.00,1675128.00,1695062.00,678018.00,65396.00,24105.00,19895.00,21396.00,42029.00,41829.00,200.00,202547.00,0.00,146483.00,51232.00,2218.00,1984.00,0.00,0.00,630.00,673573.00,33499.00,-19934.00
1969,42371.00,2636.00,39734.00,23822.00,21422.00,2400.00,3194.00,12719.00,13439.00,12719.00,82765.00,76999.00,5639.00,127.00,82044.00,71900.00,10067.00,7016.00,3051.00,77.00,0.00,13439.00,6633.00,1261.00,5545.00,5545.00,5545.00,5545.00,0.00,2895.00,5531.00,2636.00,2651.00,2651.00,138215.00,0.00,224.00,6337.00,2572.00,-8313.00,1623.00,1549.00,8906.00,67726.00,40814.00,26912.00,26286.00,21177.00,610.00,0.00,75.00,385.00,39.00,4000.00,36028.00,1614.00,140039.00,20204.00,22130.00,9744.00,1032.00,11354.00,9595.00,9365.00,230.00,9271.00,0.00,1632.00,3331.00,208.00,61.00,0.00,4000.00,39.00,71938.00,6901.00,-1824.00,-1050.00,0.00,3425.00,4475.00,1837.00,1616.00,205.00,16.00,-21381.00,0.00,-25919.00,-203.00,0.00,4741.00,-36694.00,-19534.00,-6975.00,-207.00,0.00,0.00,-9978.00,17150.00,21645.00,1797291.00,38677.00,27192.00,10574.00,911.00,1758614.00,10367.00,56572.00,431084.00,8124.00,169415.00,19604.00,81238.00,152703.00,724849.00,348594.00,376255.00,157178.00,146492.00,1265.00,0.00,1478.00,3274.00,669.00,4000.00,348927.00,29637.00,1797291.00,1795580.00,693523.00,87526.00,33849.00,20927.00,32750.00,51624.00,51194.00,430.00,185102.00,0.00,128581.00,47588.00,2426.00,1838.00,0.00,4000.00,669.00,736374.00,41431.00,1711.00
